title,url
Windows 程序包管理器：使用 winget 安装 Edge 浏览器[视频],https://www.appinn.com/use-winget-to-install-edge/
IntegerScaler – 让老游戏、小图片更清晰，适合 2K/4K 显示器[Windows/Chrome/Firefox],https://www.appinn.com/integerscaler/
Anime4KCPP – 开源的高性能动漫类图像与视频分辨率放大工具[Windows/macOS/Linux/Android],https://www.appinn.com/anime4kcpp/
Remote Touchpad – 无需安装应用，在手机上控制 Windows/Flatpak/X11 的鼠标和键盘,https://www.appinn.com/unrud-remote-touchpad/
Shake to Find Cursor – 晃动鼠标放大指针[Windows],https://www.appinn.com/shake-to-find-cursor/
Print.Test.Page.OK – 帮你测试打印机，更专业的打印测试页工具[Windows],https://www.appinn.com/print-test-page-ok/
WinMute – 在锁屏或屏保启动时静音[Win],https://www.appinn.com/winmute-for-windows/
Dalieba 的发现：老牌开源电子书阅读器 Sumatra PDF 3.2 新鲜出炉，不再支持 Windows XP,https://www.appinn.com/sumatra-pdf-3-2/
Sniptool – 一个快速标注的截图软件[Windows],https://www.appinn.com/sniptool-for-windows/
wubiLex – 解决微软五笔输入法的7大问题,https://www.appinn.com/wubilex-for-win/
历经17年，Inkscape 1.0 隆重发布，专业品质的开源矢量图编辑工具[Win/macOS/Linux],https://www.appinn.com/inkscape-1-releases/
"万彩手影大师 – 自媒体(抖音,快手等)动画视频制作软件，送3000个特别版",https://www.appinn.com/wancai-shouying-2005/
求 Windows 可以直接调节风扇转速的软件[Open Hardware Monitor],https://www.appinn.com/open-hardware-monitor/
双显示器，如何让鼠标按需才能进入显示器2？,https://www.appinn.com/cursor-lock-for-windows/
Ventoy – 开源 U 盘启动盘制作工具，支持启动多个系统，还能当普通 U 盘保存文件[Win/Linux],https://www.appinn.com/ventoy/
Subtitles-View – 基于讯飞语音转写，为视频自动生成字幕，可识别并翻译无字幕的生肉美剧[Windows],https://www.appinn.com/subtitles-view-for-windows/
EaseUS Video Editor – 简单易用的视频编辑器，限免一个月,https://www.appinn.com/easeus-video-editor/
微软官方推出必应壁纸工具，可每日更新 Windows 桌面壁纸,https://www.appinn.com/bing-wallpaper-from-microsoft/
如何解决“弹出 USB 大容量存储设备 时出问题”,https://www.appinn.com/hotswap-for-windows/
"SageThumbs – 在右键菜单预览图片，并可预览 AI, PS, EPS, PDF 缩略图[Win]",https://www.appinn.com/sagethumbs-for-windows/
